"rbr","name","date","stars","review","lang","thumb","reply"
12,"Florina & Alexander",2020-06-10,4," Good at junctions, for the alternative routes sometimes there are better options, not shown, not all speed cameras presented, average speed algorithm might be improved","en",0,NA
13,"Ron Lentz",2020-06-01,1," No longer works. This used to be my favorite GPS app. Now it only shows up half of my contacts and it no longer navigates. It crashes as soon as you hit go","en",4,"Hi Ron, To assist with this issue, it would be helpful to have a little bit more information. Can you send any screenshots related to the issue along with your device details at https://goo.gl/trBXr6? Thanks."
14,"Predrag Muric",2020-06-07,3," About accurate it is perfect . But it is no more offline . Or I am wrong , but it asks me to go online when I am not on Wi-Fi or Cellular .","en",0,NA
15,"Ron Nofsinger",2020-06-11,1," Once I paid for the app couldn't get it to function. Assistance is virtually non-existent. I asked for money to be refunded, NO RESPONSE.","en",0,"Hi Ron, Sorry to hear that? Did your problem get resolved? If not, we are here to help you! Please do let us know at https://goo.gl/trBXr6"
16,"Jennifer Langton",2020-06-12,1," This is terrible. No instructions how to easily use this. I need it for an RV and all it wants is to set up my commute. Awful Not user friendly at all. I want a program that I can use without a degree in computer science.","en",0,"Hi Jennifer, Thanks for your review. This doesn't seem right? We want to take a closer look at this for you. Please send a note to https://goo.gl/trBXr6 so we can assist you further."
17,"Anthony L Morningstar",2020-05-29,1," This new design is down right dangerous!! I have been huge fan of this company for many many many years. I'm not sure what's going on over there but his new design is just dangerous! I tried entering an address and it took almost 5 minutes to figure out how to do something that should be very basic ...Full ReviewThis new design is down right dangerous!! I have been huge fan of this company for many many many years. I'm not sure what's going on over there but his new design is just dangerous! I tried entering an address and it took almost 5 minutes to figure out how to do something that should be very basic and easy to do. another thing oh, there are far too many distracting a pointless menus. for me it should be as simple as being straightforward simple and easy to use","en",1,"Hi Anthony, we are always looking to improve the experience for our users, and really appreciate the feedback. If there is anything specific we can look into, please contact us at https://goo.gl/trBXr6."
18,"Michael Bell",2020-06-08,3," I'm soo tired of driving up a road which the map shows as being connected to another road but turns out to be a dead end.","en",1,"Hi Michael, That doesn't sound right! Can you give us more information about the road name and location at https://goo.gl/trBXr6 so that we can investigate?"
19,"Lee Butterworth",2020-05-30,4," Shame it's now a subscription instead of a purchase but that seems to be the way the world is going. Bloody brilliant app though. Wish I'd known about it much earlier.","en",0,NA
20,"michael roberts",2020-06-09,1," The last time I paid for a month I got a 14 day trial instead what's that about ? Keeps telling you your on a weight restricted road when your not get your act together Copilot","en",0,"Hi Micheal, we would like to fix this? As we don't have your email address, can you please write to us at https://goo.gl/trBXr6 so that we can help you better. We look forward to your email."
21,"John Andrews",2020-06-05,5," Very able sat nav with good waypoint facilities for very good price. Used for UK and continental touring with no complaints.","en",1,NA
22,"Richard Davis",2020-06-04,5," A great SatNav app that's always up to date and has a great interface.","en",1,NA
23,"Carlos Contreras",2020-06-13,1," Map quest is 100% better that co-pilot........it gets addresses wrong, no satellite view.....i drive a tractor trailer low boy......i can get wrong addresses cause get me into a big trouble","en",0,"Hi Carlos, thanks for your review. That doesn't sound right! Can you give us more information at https://goo.gl/trBXr6 so that we can investigate? Thank you so much!"
24,"Chuck Norris",2020-05-30,3," Doesn't always show the way to my destination properly or can't find an address","en",0,"Thanks for your feedback. We’d like to know the details of the problem you mentioned. Please send the details or screenshot to https://goo.gl/trBXr6. We'll pass it along to our development team and see if there is any way we can improve it."
25,"Tom Cox",2020-05-26,5," It works really well and I've yet to go to a place in UK that it can't find","en",0,NA
26,"Brian Vincent",2020-06-03,5," Excellent and doesn't need an internet connection.","en",1,NA
27,"Dave J",2020-06-06,5," I noticed that the map issue I recently submitted for correcting was applied to the map. I am happy!! Thanks! I recommend this app. I've had times in the past where I wasn't happy about something that was changed in an update, but I am loving copilot 2 again. It is very nice now!","en",0,NA
28,"Ernest Kanu",2020-05-22,2," Nice app but my purchase was changed to annual subscription without any notification to me.I had used the app with no issues for sometime then all of a sudden my password did not work again.I was one of the initial purchasers when there was no annual subscription.Attempt to contact the maker via ema...Full ReviewNice app but my purchase was changed to annual subscription without any notification to me.I had used the app with no issues for sometime then all of a sudden my password did not work again.I was one of the initial purchasers when there was no annual subscription.Attempt to contact the maker via email and remedy it was not successful..My license for the initial purchase no longer works.Should have been informed of the change to yearly subscrition.","en",2,"H Ernesti, we would like to fix this. As we don't have your email address, can you please write to us at https://goo.gl/trBXr6 so that we can help you better. We look forward to your email."
29,"Jon Shamrock 66",2020-05-24,1," I have had to change my review. This app no longer caters for my requirements. I need to plan a route through the country side and be able to select a combination of Motoryways, A and B roads. This App now, no long allows me to do so. On selecting the first part of a route it is fine. But then once ...Full ReviewI have had to change my review. This app no longer caters for my requirements. I need to plan a route through the country side and be able to select a combination of Motoryways, A and B roads. This App now, no long allows me to do so. On selecting the first part of a route it is fine. But then once you start to plan what roads you need to travel on the App contradicts your chosen route and sends you away sometimes in the completely wrong direction. Now review 1 out of 5.","en",9,"Thanks for your review! We’re sorry to hear that you are unhappy with CoPilot. We take feedback very seriously and we continually work to improve our App. We’d appreciate if you could tell us a bit more about what you think by using this link: https://goo.gl/ABXDLy
Thank you! Any Questions?: https://goo.gl/trBXr6"
30,"Dieter Seywald",2020-04-05,5," I have been using CoPilot for several years in Europe and the US and had no significant problems so far. The route navigation is very accurate. Especially I like the relatively small download size of the maps (for offline use) and the quite low battery consumption during use (compared with other nav...Full ReviewI have been using CoPilot for several years in Europe and the US and had no significant problems so far. The route navigation is very accurate. Especially I like the relatively small download size of the maps (for offline use) and the quite low battery consumption during use (compared with other navigation systems I have tried). For me, CoPilot is the best navigation system I have used.","en",11,NA
31,"Luigi De Marco",2020-05-02,2," I have paid for and used this app for a number of years across a number of countries with great success. I've been really happy with all the features though the poi search is tricky to use successfully. However since the past two updates it is constantly crashing. I've reported the issue and was tol...Full ReviewI have paid for and used this app for a number of years across a number of countries with great success. I've been really happy with all the features though the poi search is tricky to use successfully. However since the past two updates it is constantly crashing. I've reported the issue and was told the latest update would fix but no. I've reported again but received no response. App is currently unusable. What's going on Copilot?","en",16,"Hi Luigi, Thanks for your updated review. We are sorry to hear this, please contact us via: https://goo.gl/trBXr6 and share your Android version and device details. We are here to help and investigate this issue."
32,"Irina Lupsa",2020-05-15,4," I have been using it successfully for many years, for US, Canada and Europe. Not every single restaurant is listed, but that's ok. When I attempted to do the last update, my northeastern US map got erased, and it failed to download again all the 10 times I tried... I restarted the phone several time...Full ReviewI have been using it successfully for many years, for US, Canada and Europe. Not every single restaurant is listed, but that's ok. When I attempted to do the last update, my northeastern US map got erased, and it failed to download again all the 10 times I tried... I restarted the phone several times, I uninstalled and reinstalled the app... nothing worked... frustrating!","en",2,NA
33,"Phil",2020-05-15,1," For the last month or so the app has been telling me I didn't pay for it, I have to force stop it and reopen it a few times before it works again. It also resets all of my settings every time I have to do this. Been paying for it for years flawlessly and struggling to find anything that works as goo...Full ReviewFor the last month or so the app has been telling me I didn't pay for it, I have to force stop it and reopen it a few times before it works again. It also resets all of my settings every time I have to do this. Been paying for it for years flawlessly and struggling to find anything that works as good, hopefully this gets remedied soon... meantime I continue to search for something else ","en",8,"Hi Phil, sorry to hear about this issue. In order to assist you, it would be helpful to have a little bit more information? Can you please send any screenshots related to the issue along with your device details to: https://goo.gl/trBXr6 
Thank you so much!"
34,"William Venneman",2020-04-12,4," I like that Co-Pilot gives me turn by turn; and allows me to restrict the route based on the size of my vehicle; and it is a plus that you can use it even when your phone has no service; it would be easier if it identified the turns and exits by name instead of just giving a distance or saying ""turn...Full ReviewI like that Co-Pilot gives me turn by turn; and allows me to restrict the route based on the size of my vehicle; and it is a plus that you can use it even when your phone has no service; it would be easier if it identified the turns and exits by name instead of just giving a distance or saying ""turn right now""; in congested areas like Washington DC, where the streets are close together it can make following a route difficult.","en",6,NA
35,"somnambulist melatonin",2020-04-25,1," Oh the clumsiness of this app! First off, powered by yelp searches was a mistake. More often than not, yelp wont find what you're looking for, so you have to leave the app to load google maps or something more dependable. And then the way you enter the address is unnatural to the USA. City and zip f...Full ReviewOh the clumsiness of this app! First off, powered by yelp searches was a mistake. More often than not, yelp wont find what you're looking for, so you have to leave the app to load google maps or something more dependable. And then the way you enter the address is unnatural to the USA. City and zip first then the street in a second field. It needs only one field. Just give one box to type or paste the address into it. And search the web automatically if its not already in the app.","en",7,"Hi, can you please contact our Support team at the following link: support.copilotgps.com/en/support/tickets/new with examples of Yelp POI searching not working in the US, so that we can respond to your enquiry. Thank you"
36,"A Google user",2020-04-03,1," Aaaaaand - nothing's fixed. Speed alarms still not based on % over the limit; still no folders for favourites. 3D view still forgets your preferred zoom setting, so you have to set it each time, even if you just flip to 2D and back again. Still no road speeds for ETA purposes. Shame, CP could be ace...Full ReviewAaaaaand - nothing's fixed. Speed alarms still not based on % over the limit; still no folders for favourites. 3D view still forgets your preferred zoom setting, so you have to set it each time, even if you just flip to 2D and back again. Still no road speeds for ETA purposes. Shame, CP could be ace. This update fixes nothing, again again.","en",46,"Thanks for your updated review. We’re sorry to hear that you are unhappy with CoPilot. We take feedback very seriously and we continually work to improve our App. We’d appreciate if you could tell us a bit more about what you think by using this link: https://goo.gl/ABXDLy
Questions? Please contact our customer service team: https://goo.gl/trBXr6"
37,"Max Fir3",2020-05-14,1," Took a payment out of my account without authorization (I haven't even used it in months). It didn't even ask. Before, it would make me make a payment manually when it was due (even while in mid trip, when I needed it most, making me pull over to make a payment). I don't have auto pay on.","en",3,"This doesn't seem right. We want to take a closer look at this for you. Please send a note to https://goo.gl/trBXr6 so we can solve this?"
38,"Shera Khela",2020-04-27,5," Best truck route app. Being as a professional driver, I only depend upon this app. It makes me confident to drive unknown places and not to worry about low Bridges and getting lost on no truck routes. I have made deliveries to construction sites in NY City, Chicago and Los Angeles Downtown with 53fe...Full ReviewBest truck route app. Being as a professional driver, I only depend upon this app. It makes me confident to drive unknown places and not to worry about low Bridges and getting lost on no truck routes. I have made deliveries to construction sites in NY City, Chicago and Los Angeles Downtown with 53feet flat deck trailer without any trouble. Thanks for this great app. Please keep it up.","en",4,NA
39,"Stephiyah Yisrayl",2020-04-13,1," Having problems with this App! It will not load Trip or give route. Sad part I'm paying for the service! But not getting any technical help. I'm giving it 24 hours and if it's not fixed I want a full refund! Sincerely Stephiyah Yisrayl Update. The problem has came back again. I've tried uninstalling...Full ReviewHaving problems with this App! It will not load Trip or give route. Sad part I'm paying for the service! But not getting any technical help. I'm giving it 24 hours and if it's not fixed I want a full refund! Sincerely Stephiyah Yisrayl Update. The problem has came back again. I've tried uninstalling and reinstalling the App. Still Trip plan will not work.","en",2,"Hi Stephiyah, did your problem get resolved? If not, we are here to help. Please do let us know at https://goo.gl/trBXr6"
40,"Matthew Jones",2020-05-14,2," started off last year with this app and it really did well. This year its like it works when it wants to i have had to reverse miles back from bridges,its constantly trying to take me down weight restrictions and sometimes struggles to find addresses. I don't trust the app and it puts me on edge fol...Full Reviewstarted off last year with this app and it really did well. This year its like it works when it wants to i have had to reverse miles back from bridges,its constantly trying to take me down weight restrictions and sometimes struggles to find addresses. I don't trust the app and it puts me on edge following irs route i will be finding a better app unless this one updates and gets better.","en",4,"Thanks for your feedback. We’d like to know the details of the problem you mentioned. Please send the details or screenshot to https://goo.gl/trBXr6. We'll investigate your routing issue. Thank you!"
41,"Me You",2020-04-07,1," Lost all my history and saved addresses; and can't turn on GPS or my locations ""in the 'General Settings'"", and it all happened when it was up dating from the last version to this newer version. I also can't find a phone number to call for help.","en",2,"Thanks for your review! We sincerely apologise for the troubles you've had with the app. We'd be happy to take a look into this for you, please contact us at https://goo.gl/trBXr6
Thank you."
42,"Stevie Blevins",2020-04-19,1," Ok I've been patient with this app hoping it could get a little better with routes but it's not but that dont bother me as much as I renew my subscription on app and it's good until 5-13-2020 and it kicked me off the gps routing turn by turn saying I need to renew subscription which I have but it do...Full ReviewOk I've been patient with this app hoping it could get a little better with routes but it's not but that dont bother me as much as I renew my subscription on app and it's good until 5-13-2020 and it kicked me off the gps routing turn by turn saying I need to renew subscription which I have but it done it in the city where I was close to my destination and it just caused a very bad hazard at the timing if that happening and as I said I've been patient and a regular paying customer monthly REFUND","en",2,"Hi Stevie, this doesn't seem right. We want to take a closer look at this for you. Please send a note to https://goo.gl/trBXr6 so we can connect."
43,"Robert Lonquist",2020-04-24,5," Former Garmin DEZL 570 user. After updating in December the DEZL became nearly useless. It could not find a truckstop across the street, it stopped alerting weigh stations, it self erased all route shaping inputs, it would route into no trucks express lanes, and it would alert to 5 ton weight limits...Full ReviewFormer Garmin DEZL 570 user. After updating in December the DEZL became nearly useless. It could not find a truckstop across the street, it stopped alerting weigh stations, it self erased all route shaping inputs, it would route into no trucks express lanes, and it would alert to 5 ton weight limits on I-70. At first I hated Co-Pilot.Now I love it. I bought a full year. Easier to use than any Garmin, more accurate, and it self updates. The cost of a Garmin 580 would buy 3 years of Co-Pilot","en",3,NA
44,"Gareth Dunbar",2020-05-19,2," Was good, now very poor. App keeps freezing and you miss your turn. Other tricks it has is to route you through a service station only to come straight out the other side, or up a slip road to rejoin original road.","en",2,"Hi Gareth, We are really sorry for the trouble and we appreciate you bringing this issue to our attention at  https://goo.gl/trBXr6. We will look into this further!"
45,"Tater Tot",2020-04-20,1," What a miserable application. Takes forever to download and then just locks up. Then freezes up. When you go back into the app it just freezes up again and does not start back where it left off. Like I said this is a miserable application","en",1,"Hi Tafer, we sincerely apologize for the troubles you've had with the app. We'd be happy to take a look into this for you, please contact us at https://goo.gl/trBXr6. Thank you."
46,"Jon Harwood",2020-05-21,5," Thank you so much today for helping me with the problem I had with it and your problem solving sorting it out and would recommend you and this app as it is the best and top service from you today on my issue I had and thank you so much.","en",1,NA
47,"Robert Wiedemeyer",2020-06-07,4," New updated version SUCKS!!! I sent in a issue report per the directions in the response. I do not have high expectations for a usable response though... After posting this my account was magically fixed and now works fine?","en",1,"Hi Robert, Thanks for your updated review. Can you please confirm that you have been able to restore your purchase via your Login/CoPilot ID? If you require further help with restoring your purchase, please let our support team know via: https://goo.gl/trBXr6
Thank you!"
48,"Chuckles Sensel",2020-03-29,3," Renewed my subscription and now the app constantly crashes. App was working perfectly fine and was an amazing app. But with no way to request a refund ill be skeptical to renew. But 3 star rating is based off current issues otherwise id give a full 5","en",1,"Hello Chuckles, we are really sorry to hear that you are having issues with our app. 
A new update which fixes the crash is now available in the store. Please, download it and install it and if you need technical assistance, please send a request including your CoPilot ID, at https://goo.gl/trBXr6?
Thank you very much!"
49,"Alc Ioanovici",2020-05-12,4," I like graphic, detail,speed and many other things. I want to suggest only one thing, ponts of interest like scalec and rest parcking areas for trucks to be highlighted on toute to be sean from far away. Thank you Alec","en",1,NA
50,"James Hill",2020-03-12,5," Co-Pilot navigation app allows you to download all the maps for the United States and Canada (maps from virtually anywhere in the world are available). A data connection is unneeded. You have full navigation maps when driving in the mountains or rural areas without cellphone service. Destination set...Full ReviewCo-Pilot navigation app allows you to download all the maps for the United States and Canada (maps from virtually anywhere in the world are available). A data connection is unneeded. You have full navigation maps when driving in the mountains or rural areas without cellphone service. Destination setting is easy. Co-Pilot has a topical database of rest stops and businesses. You can browse or search for facilities up to hundreds of miles from your location. You can save destinations and trips.","en",14,NA
51,"John Richard",2020-04-05,5," Great GPS. Routing matches company routing 98%of the time without having to set waypoints. Just wish it included weather also. This beats having to buy a $600.00 GPS and paying for map services.","en",1,NA
52,"Csebas@gmail.com Autumn2oo2",2020-04-27,3," Guy's I work use this app and they only had to pay a one time fee and they get updates. I purchased this a year ago and never had any updates and I had to pay another fee to continue and all my saved places never transferred.","en",1,"Hello, sorry about the issue. We would like to help. Please contact us at https://goo.gl/trBXr6."
53,"Adam Collyer",2020-03-31,4," Very nice sat nav and good value. Works well even on my low end phone. Clear navigation instructions and well laid out screen. Regular map updates using proper commercial mapping data.","en",0,NA
54,"Cyril Agnew",2020-03-11,4," Been using it for years. It has faithfully gotten me where i wanted to go with no issues. I have ONE beef and i wish the developers would implement this one feature. Please let us organize our saved places into folders. I am so tired of scrolling through a hundred save places looking for a certian s...Full ReviewBeen using it for years. It has faithfully gotten me where i wanted to go with no issues. I have ONE beef and i wish the developers would implement this one feature. Please let us organize our saved places into folders. I am so tired of scrolling through a hundred save places looking for a certian stop. I want to keep my border crossings in a folder...fuel stops in a folder...parking in a folder. Keep praying they would listen...5 years i have been asking and nope.","en",14,NA
55,"Chris",2020-05-27,3," I keep renewing then magically my subscription has expired beennlike this all month long! with no refund or credit back to the accout. Its a good app but whats really going on now","en",1,"Hi Chris,  This doesn't seem right. We want to take a closer look at this for you. Please send a note to https://goo.gl/trBXr6 so we can connect."
56,"Peter Aslett",2020-05-12,1," Since last update the app is useless. I have to uninstall it and reinstall every time i want to use it and despite paying for traffic it doesnt work and keeps asking me if i want to upgrade.","en",0,"Hi Peter, please contact us at https://goo.gl/trBXr6 and share your CoPilot-ID/Login and device details. We will reach out to you with assistance."
57,"Garrett Cosgrove",2020-06-11,1," Dumped my entire route for no tangible reason, lost an hour of inputting addresses, thanks! Back to the competition.","en",5,"Hi Garrett! Thanks so much for your review. That doesn't sound right? Can you give us more information at https://goo.gl/trBXr6 so that we can investigate."
58,"Robert McClure",2020-04-16,1," Why is it described as able to use for RV and Truck but no option to choose that profile? It's not in the settings and not in their in app store. This is false advertising.","en",0,"Hi Robert, We have not had this issue reported to us before, and we'd certainly like to work this through for you. Could you share the details at https://goo.gl/trBXr6? And any relevant screenshots would be immensely valuable. Thank you."
59,"Charles Byrd",2020-04-29,5," I use this app as the navigation for mileon, it hasn't been able to fetch my trips for over a month...........I hope it gets fixed soon or I'll not renew my subscription.","en",0,NA
60,"Bradley Mitchell",2020-05-17,4," It is a great app it just needs a manual feature.. where you can touch the map and it will take you there.... No address just touch the map and it plots a route","en",1,NA
61,"Chris Bennett",2020-06-13,4," Good clear guidance, good product!","en",0,NA
62,"Clay Skelton",2020-05-18,1," Became Useless - Subscription ""Service"" seems to require I have constant internet connection to keep active. I AM NOT PAYING FOR CELLULAR SERVICE ON TOP OF YOUR MONTHLY FEE JUST TO USE YOUR XXXX APP!","en",2,"Hi Clay, we apologise for any issue you might be having! Could you send details of what you are experiencing to our customer support at https://goo.gl/trBXr6
The error you describe could be down to using online services like ActiveTraffic or Weather?"
63,"MOONGOON",2020-04-29,5," Best truck GPS for truckers I have a tablet downloaded it onto // and a ( ram mount double suction cup windshield mount ) ( they make all kinds of extenders in every different size ) I have my tablet mounted onto a ( proclip USA tablet mount they make perfect fit for all tablets ) I have a 2019 frei...Full ReviewBest truck GPS for truckers I have a tablet downloaded it onto // and a ( ram mount double suction cup windshield mount ) ( they make all kinds of extenders in every different size ) I have my tablet mounted onto a ( proclip USA tablet mount they make perfect fit for all tablets ) I have a 2019 freightliner and I have it mounted were the tablet is in front of my dashboard were I can see it up close and can zoom in or out with fingers or reroute around accident or road construction quickly","en",0,NA
64,"lost highway",2020-04-01,1," Terrible. I use to love Copilot. What happened???? It is CONSTANTLY telling me to turn. What is going on????","en",2,"To assist with this issue, it would be helpful to have a little bit more information. Can you send any screenshots related to the issue along with the start and the destination at https://goo.gl/trBXr6? Thanks."
65,"Robb McClune",2020-04-29,2," When I first got the app worked great, but during this last trip it crashes Everytime I have it build a route.","en",0,"Hi Robb, Thanks for your review. Sorry to hear you are having trouble using CoPilot on your device? Can you give us more information via this link: https://goo.gl/trBXr6 so that we can investigate? Thank you!"
66,"halim baskerville",2020-04-17,5," I had a issue with my app and they worked with me to correct it, now it's working perfectly fine again I love this app keep it up guy's thanks.","en",1,"Hi Halim, Thanks for your feedback. We’d like to know the details of the problem you mentioned. Please send the details or screenshot to https://goo.gl/trBXr6. We'll pass it along to our development team and see if there is any way we can improve it."
67,"Francisco Fernandez",2020-04-29,4," Its a good app for the most part. Ut when entering the address with a dash it wont work. Thats my only complaint","en",0,NA
68,"Tyrone Edwards",2020-04-24,3," Decent app I've used it for about a week. It doesn't always use shortest route but gets you to your destination safely.","en",0,"Thanks for your feedback. We’d like to know the details of the problem you mentioned. Please send the details or screenshot to https://goo.gl/trBXr6. We'll pass it along to our development team and see if there is any way we can improve it."
69,"DeWitt Fitts",2020-05-16,5," I enjoy and am beginning to trust your directions. You are better than the previous owners AND YOU HAVE OFFLINE MAPS THAT ARE USEFUL. Thank you.","en",1,NA
70,"lp kp",2020-06-08,5," Great app for navigation with my v Camper","en",0,NA
71,"El Presidente",2020-04-20,2," Traffic bar not showing after update. Samsung note 10+, Huawei Mate 20, Samsung tablet compact. Can't even renew subscription","en",1,"We are really sorry for the trouble and we appreciate you bringing this issue to our attention. Please contact the support team for investigation.
https://goo.gl/trBXr6"
72,"Paul Jones",2020-06-12,1," My copilot has stopped working, is there an update, or has it been stopped so I have to pay again?","en",0,"Hi Paul, Sorry for this inconvenience. We understand that it can be frustrating and would like to assist you further with the issue you have been experiencing.
Please get in touch with our Support team by using the link below and someone will be able to help you with this issue.
https://goo.gl/trBXr6"
73,"Robert Svrznjak",2020-03-24,5," Edit: That navigation is the best of all navigation i use and i use alot of them, the only downside is that is not for free, but when ,you subscribe than is good. But is shame that you cant buy, insted you need to subscribe every year.","en",1,NA
74,"Philip Brannigan",2020-03-28,5," I've had this app for a very long time, it's been fantastic value, also very accurate and easy to use.","en",1,NA
75,"Øystein Bergstad",2020-04-06,4," Been a CoPiloter since 2008-ish and I love it (most of the time) but please explain to me why in the name of 2020 this app is not compatible with Android Auto?","en",0,NA
