"rbr","name","date","stars","review","lang","thumb","reply"
27,"tomeka howard",2019-01-26,2," volume on this map is low. even though i have my volume on my BRP all the way up and also have the volume on the genius maps up. you cannot hear the voice telling you where to go because its low. ive tried to youtube. the volume is not compatible to brp connect. the volume need to be louder than it ...Full Reviewvolume on this map is low. even though i have my volume on my BRP all the way up and also have the volume on the genius maps up. you cannot hear the voice telling you where to go because its low. ive tried to youtube. the volume is not compatible to brp connect. the volume need to be louder than it is for us to hear the directions clearly while drivinv.","en",1,"Dear Tomeka,

thank you for contacting us and for using Genius Maps.

Seeing as the problem is most likely related to the Bluetooth aspect, we urge you to contact BRP directly and ask them to try and fix the problem for you.

Best regards,

Luka
Genius Maps support team"
28,"Martin Brooks",2018-10-21,3," The GPS or Better yet the ""maps"" are not up to date.....in my town alone it is showing where the Post office was for 15 years..and not its actual location.it also does not recognise road works....whereas my Google maps does!.....unfortunately I do not have much of a choice with my BRP connect.","en",2,"Dear Martin,

we're sorry to hear you're experiencing problems with the maps. The maps we're using are from ""Here"", a company which develops and updates the maps. For any suggestions about map corrections, feel free to contact Here Technologies and explain your issues.

Best regards,

Luka
Genius Maps support team"
29,"Gary Childers",2019-09-03,4," Although I purchased the IVI connectivity module, I have not been able to get the app to display in my Honda Civic's IVI. I've longed for Here Maps or Here WeGo to work with Mirrorlink, so I jumped at the possibility and bought all the Mireo stuff I thought would make it work. I emailed Here Corp ye...Full ReviewAlthough I purchased the IVI connectivity module, I have not been able to get the app to display in my Honda Civic's IVI. I've longed for Here Maps or Here WeGo to work with Mirrorlink, so I jumped at the possibility and bought all the Mireo stuff I thought would make it work. I emailed Here Corp years ago begging them to implement Mirrorlink functionality. If Genius Maps can make this work, id be satisfied.","en",3,NA
30,"Texas Storm",2019-10-02,4," US driver Pioneer 2300 and Galaxy S8. Bought car sync, traffic etc. Everything worked great except Pioneers AppRadio crashes. Use Genius Maps as backup when Android Auto crashes. Use phone display somewhat but link through BT instead just to hear the directions. Took a long time to DL maps but after...Full ReviewUS driver Pioneer 2300 and Galaxy S8. Bought car sync, traffic etc. Everything worked great except Pioneers AppRadio crashes. Use Genius Maps as backup when Android Auto crashes. Use phone display somewhat but link through BT instead just to hear the directions. Took a long time to DL maps but after they did all is well. Feedback is to auto populate destination when clicking address from (Samsung) calendar also to offer landscape mode. Pretty interface. Ok directions/traffic NE USA.","en",2,"Dear Sir/Madam,

thank you for leaving a review. The price of the packages depends on a lot of things, it's not only dependent on us. Thank you for the feedback, however, we'll look into the advice you gave us.

Best regards,

Luka
Genius Maps support team"
31,"John Kurulak",2020-02-18,5," Works great offline. (Actually, better than great - beyond all expectations)","en",0,NA
32,"Jacob Stam",2019-01-23,5," One of the easiest and clearest UI among all navigation software I've seen. A big drawback: The maps are not updated and there is no traffic service in my area. So I do not see a reason to purchase this product in the meantime.","en",1,"Dear Jacob,

thank you for the amazing review! Our team is working hard on widening the array of supported countries when it comes to Pro Guidance and Live Traffic, so stay tuned for any future updates regarding your area.

Best regards,

Luka
Genius Maps support team"
33,"HJ Nijman",2019-07-29,5," I have used this app for many years on my travels through Europe, it always brought me to the places I wanted to be. An extra plus is the voice of Doug Benson (which you have to buy extra), which is amusing.","en",3,"Dear Sir/Madam,

thank you for the excellent review and kind words! We're always happy to read feedback from a satisfied user.

Best regards,

Luka
Genius Maps support team"
34,"Garrett Cosgrove",2019-03-14,1," Haha, oh wowzers, what a gigantic waste of time. This app doesn't optimize route stops. At all. You just put them in and it uses that order. What a tremendous waste of time! There are no good apps for multiple stops! Makes me want to scream!","en",4,"Dear Garrett,

thank you for leaving a review. You can always check the distance to each stop and then reorder the stops yourself. It only takes a minute of your time, if not less, to drag and drop them in an order you desire.

Best regards,

Luka
Genius Maps support team"
35,"John Calleja",2019-11-04,5," Used for the first time whilst on trial period, seems good told me to slow down when in a 30 mph limit. Guidance seems good. Will purchase as car system is too expensive for map updates.","en",1,NA
36,"Expat47",2020-06-03,4," Upated from Don't Panic & enjoying the new stuff.","en",0,NA
37,"Murray Paulson",2019-06-23,4," It is great to have an offline map for getting around foreign countries. No cell service required. And there are lots of downloadable maps. Thanks!","en",6,"Dear Murray,

thank you for the great review! We're glad you like our app.

Best regards,

Luka
Genius Maps support team"
38,"Neil Cooper",2018-12-28,2," I use this mainly in Spain and on every journey there is a fault! Told to go off a motorway then immediately back on, oneway systems and pedestrian precincts not recognised. Next time I use it in Spain I intend to catalogue every fault and send them to you. Really not good enough for a paid service.","en",1,"Dear Neil,

thank you for leaving a review. If you've come upon a guidance error (a loop or wrong navigation), feel free to contact us with the route details so we can look into it. However, any map irregularities are managed by our map provider, Here, so you'll have to report those faults to them.

Best regards,

Luka
Genius Maps support team"
39,"Robin Carter",2018-10-25,1," Very slow app. Unable to use with in control apps for jaguar xe. It's jerky and slow. For a paid for app it's rubbish. Obviously money not spent wisely on this occasion.","en",4,"Hi, Robin.

We'd like to know more about the problems you're experiencing. Our application is usually everything but slow, so we'd like to look into what you're facing concerning the slow operation and Jaguar issues. Please e-mail us at support@mireo.hr with more information.

Best regards,

Luka
Genius Maps support team"
40,"Mr Roby",2019-08-27,1," Saved a few locations and they were on my locations list. Came back home later in the evening and all are gone. Dissapointing and thought, what a good looking app, wanted to purchase it after the trial is gone.","en",1,NA
41,"David Hannaford",2019-09-19,3," Love the spoken directions but routing hardly ever provides the best routes and maps are not up to date compared with other providers ( tested in France) Regretfully not worth the cost in my opinion.","en",4,NA
43,"Periklis Pappas",2019-10-24,4," The application is very good and user friendly i like the 3D interface on the buildings i would like also the information about avoid roads to be more clearly to the user .... keep up the good work guys !!","en",3,NA
44,"tony pinder",2019-01-03,5," Very easy to use especially being able to run offline, great for car or walking. A great useful addition to anyone's array of maps.","en",1,"Dear Tony,

thanks for the amazing review! We're glad to hear you like using Genius Maps.

Best regards,

Luka
Genius Maps support team"
45,"Larry Raynor Olive",2019-08-31,5," Excellent app I recommend it, clear voice directive, works without mobile data, speed limit commands are awesome, thank you Genius Maps.","en",2,NA
46,"A Google user",2019-08-04,4," app worked fine for a couple months now gives message on my 2018 spyder disconnect and reconfigure app on smartphone need help. Have tried 5 times to reach support with no response","en",1,"Dear Sir/Madam,

thank you for the great review. We haven't changed anything in our app which would display the message you're describing. The only reason it would ever be displayed was if you didn't have Vehicle Connectivity (new phone, lost purchases...).

Best regards,

Luka
Genius Maps support team"
47,"Paul Mattson",2019-06-19,2," Tried this app because Pioneer updated AppRadio and Waze stopped working. It may be a good app, but a 1 week free trial? Why pay for an app when Google and Waze are free?","en",2,"Dear Paul,

thank you for leaving a review. Our app uses no ads and is our sole field of expertise. Offering a free app with no ads would make our company go under in a very short period. If you try the app, however, you'll see it's superior when it comes to route calculation and precision.

Best regards,

Luka
Genius Maps support team"
48,"<U+064D>Sayed Attia",2019-08-29,4," Very good, However, the map of Egypt is too old and need to be updated.","en",0,NA
49,"Ulrich Dillge",2018-12-26,4," Works great. Can you display the current speed in a larger font?","en",0,"Dear Ulrich,

thank you for your kind review. We have agreed on the current font size being the optimal size for both visibility and functionality, but will consider your suggestion for future updates.

Best regards,

Luka
Genius Maps support team"
50,"Don Lambert",2019-03-11,4," Good. Integrates well with BRP Connect on my Spyder RT. I'd give it 5 stars if there was an online tool to plan routes and then download to my cell.","en",1,"Dear Don,

thank you for the 4 star review! We've taken your advice into account, sorry for not being able to provide you with what you're looking for at this point.

Best regards,

Luka
Genius Maps support team"
51,"John O",2019-07-20,4," Getting better with each update. still cant search for crossroads (intersections).","en",1,"Dear John,

thank you for the great review! Our app has the ability for voice recognition via Bluetooth (headphones, headset...). If it's not functional for you, we advise talking to your nearby BRP team so they can help you set it up. Regarding the POI, there's a ""Nearby POIs"" category available.

Best regards,

Luka
Genius Maps support team"
52,"A Google user",2018-11-29,5," Good app. Use it in remote locations with no mobile services.","en",1,"Thank you for your kind review, we're happy you're satisfied with our app.

Best regards,

Luka
Genius Maps support team"
53,"Ivan Biuklija",2019-10-17,2," Support ignores e-mails. No Android Auto support. Car connectivity costs extra.","en",0,NA
54,"David Peterson",2018-11-11,1," Paid for pro. Maps will not update. Went back to Waze navigation free","en",0,"Dear David,

we're sorry to hear that. Our maps are updated automatically every 3 months. If you've been having problems with those updates, we would appreciate if you could contact us at support@mireo.hr with details describing your problem.

Best regards,

Luka
Genius Maps support team"
55,"Manoj Sinha",2019-07-21,4," A good app however it is annoying that it has now stopped free download of the maps","en",0,"Dear Sir/Madam,

thank you for the great review! We haven't stopped providing free map downloads, the maps are still readily available. If you're experiencing a problem regarding the map downloads, feel free to contact us at support@mireo.hr for further help.

Best regards,

Luka
Genius Maps support team"
56,"Robert Withell",2019-09-22,5," A good clear map showing road names clearly. Shows traffic conditions well.","en",1,NA
57,"Electro489",2019-09-24,5," Best map/routing/gps program I have tested! Please add ""import gpx"" function.","en",0,NA
58,"Rajaprakash Ramachandran",2019-03-28,5," super.. very clear and concise includes speed monitoring","en",1,"Dear Rajaprakash,

thank you for the excellent review! We're glad you like our app.

Best regards,

Luka
Genius Maps support team"
59,"Adrian Rausch",2019-10-19,5," Fantastic app, used it both BlackBerry now android platform, works a treat.","en",0,NA
60,"<U+0414><U+043C><U+0438><U+0442><U+0440><U+0438><U+0439> <U+0421><U+0438><U+0434><U+043E><U+0440><U+043E><U+0432>",2018-10-31,1," The app looses gps signal in case I use it via land rover incontrol.","en",0,"Hi, <U+0414><U+043C><U+0438><U+0442><U+0440><U+0438><U+0439>.

Please share more details of your case with us at support@mireo.hr so we can look into the problem and help you find a fix.

Best regards,

Luka
Genius maps support team"
61,"Jason Galea",2020-04-26,5," Very good app it workes well done","en",0,NA
62,"Mario Richter",2020-02-14,1," Prices to connect to car is very very high.Not recommended at all.Rip.off","en",0,NA
63,"Mathew WinsOr",2019-08-05,4," Getting better with each update. Very good app.","en",0,"Dear Mathew,

thank you for the excellent review! We're glad to hear our app is getting better!

Best regards,

Luka
Genius Maps support team"
64,"Ralph Skyscraper Bennett",2019-04-21,1," Terrible! totally unclear, except for purchase this and purchase that. They made that VERY easy to do!","en",0,"Dear Ralph,

thank you for leaving a review. Feel free to contact us at support@mireo.hr with more details so we can look into any problems you're experiencing.

Best regards,

Luka
Genius Maps support team"
65,"Anthony O'Donnell",2019-09-24,5," The best map app I've ever used. 5 out of five stars","en",0,NA
66,"Rob Chandler",2019-03-30,5," Fantastic app and great customer support!","en",0,"Dear Rob,

thank you for the 5 star review and the kind words! I'm glad I was of assistance. Let us know if you'll have anymore questions or suggestions.

Best regards,

Luka
Genius Maps support team"
67,"A Google user",2018-11-05,1," Went from Pennsylvania to Maryland Maryland Maps faded out was rotting On the Border of Pennsylvania Maryland the screen showed partial Pennsylvania Maryland side blank","en",0,"Dear Sir/Madam,

we're sorry to hear that happened. We would appreciate if you could send us an e-mail with more details of what happened to support@mireo.hr or through the Genius Maps app so we can look into the problem.

Best regards,

Luka
Genius Maps support team"
68,"Dragan Forest",2019-11-19,1," Bad map rendering, it is not smooth","en",0,NA
69,"Steve Hayes",2019-07-24,5," just a shamed you cant get European map so you can interlinked maps to drive from UK to Prague","en",0,"Dear Steve,

thank you for the 5 star review! You can always download each country individually and set up a route using all the countries that connect the UK to Czech republic. You can even make your own route by downloading only certain countries, the choice is yours.

Best regards,

Luka
Genius Maps support team"
70,"herman van zyl",2019-05-30,5," Excellent.... Even off road works great!!!!","en",0,"Dear Sir/Madam,

thank you for the great review! Keep using Genius Maps!

Best regards,

Luka
Genius Maps support team"
71,"Vaclovas Straksys",2019-07-19,5," fantastic app shows every house where it is .","en",0,"Dear Sir/Madam,

thank you for the excellent review! Keep using Genius Maps!

Best regards,

Luka
Genius Maps support team"
72,"Sidney Carter",2018-12-27,5," perfect for the radio in my truck!","en",0,"Dear Sidney,

thank you very much for the kind review! Keep using Genius Maps!

Best regards,

Luka
Genius Maps support team"
73,"Jonathan Salinas",2018-12-26,5," great app works great offline highly recomended","en",0,"Dear Jonathan,

thank you very much for your kind words! If you have any suggestions or questions, feel free to contact us at support@mireo.hr

Best regards,

Luka
Genius Maps support team"
74,"Gene Gajewski",2019-05-19,5," Great app. Works with my 2018 Can Am Spyder!","en",0,"Dear Gene,

thank you for the excellent review! We're glad you're happy and utilizing your app with the Spyder.

Best regards,

Luka
Genius Maps support team"
75,"BOBSI BURTON",2019-12-23,1," Suck on those gigabytes and wants internet connection.. Did i not read offline maps apps.","en",0,NA
76,"Southern Bait Aquaponics",2019-11-21,4," Am very pleased to estimates my trips with accurate ETA","en",0,NA
77,"D P",2020-05-09,1," Does not work. Would like a refund","en",0,NA
78,"Soter Argy",2019-08-28,4," Simple and functional.","en",0,NA
79,"Elias Spyridakis",2020-01-04,5," Had given a bad review originally but after using the programme I think it is the best. A bit difficult in finding POIS though...","en",0,NA
80,"Marion Office",2019-02-23,1," would give a 0 if i could. just bought 3 different downloads and my Jag says configure app on phone. don't buy!","en",1,"Dear Marion,

thank you for leaving a review. Our listing on the app store clearly says Pro Guidance is only used for Navigating purposes on your phone, while vehicle connectivity is used to connect the app to your car. Contact us again at support@mireo.hr so we can work out the best solution.

Best regards,

Luka
Genius Maps support team"
81,"Robert Brunette",2019-07-16,5," it appears to be getting better all the time","en",0,"Dear Robert,

thank you for the kind words! We're always happy to see positive feedback.

Best regards,

Luka
Genius Maps support team"
82,"Thomas Gonzales",2019-10-17,5," Great app when your off line .v","en",0,NA
83,"A Google user",2019-01-02,1," can't get it to work. no support.","en",1,"Dear Sir/Madam,

our support is available throughout the working week. Feel free to contact us at support@mireo.hr and explain the issues you're having, otherwise we can't help.

Best regards,

Luka
Genius Maps support team"
84,"Adham Refaat",2019-05-28,3," customer service don't respond at my messages or takes days to respond","en",0,NA
85,"Buster Letjidibje Ratseke",2019-08-10,5," i like this app even if m not driving i get everywhere i want without getting lost","en",0,NA
86,"Lynn Fellows",2018-10-16,3," Purchased but keeps saying it is a trial.","en",1,"Hi, Lynn.

When you first download Genius Maps, a 7 day trial automatically activates and it lasts 7 days even if you purchase Pro guidance in the meantime. If you're still having problems fetching your Pro membership after the week has ended, feel free to contact us at support@mireo.hr

Best regards,

Luka
Genius Maps support team"
87,"Ega",2019-08-04,3," Why you need to paid this app to unlock all features","en",0,"Dear Sir/Madam,

thank you for leaving a review. Our company deals solely in the navigation business, meaning most of our income comes from users who use our app. Seeing as we don't use any adds or subscriptions of any kind, it only seems fair to make the app a one time purchase.

Best regards,

Luka
Genius Maps support team"
88,"A Google user",2018-12-30,5," superb, very accurate, excellent. thanks","en",0,"Dear Sir/Madam,

thank you very much for your kind review! Keep using Genius Maps!

Best regards,

Luka
Genius Maps support team"
89,"Willie Houck",2019-12-30,5," Needs to be cheaper","en",0,NA
90,"Hubert Francois",2020-02-07,5," Great app not quite use to it just","en",0,NA
91,"Edward La Luz",2019-01-14,1," I can't make it to show on the screen.","en",1,"Dear Edward,

we're sorry to hear about your problem. Please contact us at support@mireo.hr so we can help you solve the issue you're experiencing.

Best regards,

Luka
Genius Maps support team"
93,"Louis Schilders",2019-08-06,5," easy to use.","en",0,"Dear Louis,

thank you for the 5 star review! We're glad you like our app!

Best regards,

Luka
Genius Maps support team"
94,"A Google user",2018-12-16,5," A great app indeed","en",0,"Dear Sir/Madam,

thanks for the kind words! If you have any suggestions, feel free to contact us at support@mireo.hr

Best regards,

Luka
Genius Maps support team"
95,"Mike Buckingham",2019-08-23,1," Purchased for pioneer and afterbpurchase stopped working requesting refund","en",0,NA
97,"Richard Phares",2019-02-28,4," good app work pretty good so far","en",0,"Dear Richard,

thank you for the 4 star review! Let us know at support@mireo.hr if there's anything we can do to make that into 5 stars.

Best regards,

Luka
Genius Maps support team"
99,"Fathalla Ramadan",2018-11-18,5," Good to have such application","en",0,"Dear Fathalla,

thank you for the compliment! We're happy seeing our users are happy.

Best regards,

Luka
Genius Maps support team"
100,"Dimas Ari",2019-02-16,5," using data from here maps","en",1,"Dear Dimas,

thank you for the excellent review! Keep using Genius Maps!

Best regards,

Luka
Genius Maps support team"
101,"Sean C",2019-10-16,5," Works great while traveling on our Can-am Spyder RT","en",0,NA
102,"Khawar Mehmood",2020-01-15,5," Very good I like it","en",0,NA
103,"Malcolm Dzowa",2018-12-24,5," I absolutely love the app","en",0,"Dear Malcolm,

thank you so much for your kind review! Keep using Genius Maps!

Best regards,

Luka
Genius Maps support team"
104,"Sue Gunn",2018-10-08,1," Hate it but Must Can-Am makes you useiy","en",0,"Dear Sue,

we'd be happy if you could contact us at support@mireo.hr and explain exactly what's bothering you with Genius Maps so we can try and fix the problem.

Best regards,

Luka
Genius Maps support team"
105,"ALEXUS HOMOS",2019-10-18,5," this is the best for directions","en",0,NA
106,"Simbarashe Ruze",2018-10-24,5," A beautiful helper...","en",0,NA
107,"james schmiedel",2019-08-12,1," can't get it to work","en",0,NA
109,"Kevin Moyo",2019-12-01,5," It is good","en",0,NA
110,"Amos Mukwanka",2019-10-28,5," It's very good","en",0,NA
111,"Teofilo Yao",2019-12-05,5," Not yet been useful","en",0,NA
112,"Mr. Cox",2019-04-01,2," cost to much","en",0,"Dear Sir/Madam,

thank you for leaving a review. Our price is correlated with the price of the maps we purchase, plus the cost of our team maintaining the app and making it better with every update. We're of an opinion that the price is reasonable considering it offers lifetime updates.

Best regards,

Luka
Genius Maps support team"
113,"jim Owens",2019-09-22,1," One word sucks","en",0,NA
118,"Scott Reid",2020-02-27,3," It is a real shame after about 7 years or so there is still no live maps for the Philippines. There are a number of other apps that have live traffic some are free, but I am willing to pay for it. If it had it I would give this 5 stars.","en",4,NA
119,"Tomasz Danus",2020-05-06,5," Since Genius Maps changed maps provider everything works like a dream - also their Customer service is second to none!","en",0,NA
123,"Jeartuil Javier",2019-11-22,5," Very nice update.. all in one update.. good job mireo.. poi category is ","en",2,NA
124,"nextgeneration8994",2019-09-23,5," Some roades not up to date but fast rerouting steel good","en",0,NA
